TechCSV1.0;;;;;;;;;;;;
#separator;;;;;;;;;;;;
;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;
yes;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY
170;170;-2789,837158;19,8764;75,6592;2,4819;249,86;435,99;720,78;223,6582;0,2935;0,1647;0,0478
170;170;-2789,779385;17,1711;74,1891;2,4766;250,01;436,37;722,37;224,392;0,2918;0,1651;0,0553
170;170;-2789,721613;18,0714;73,6852;2,4709;250,22;436,83;724,06;218,7129;0,2891;0,1657;0,067
170;170;-2789,663841;18,5776;73,384;2,4644;250,49;437,25;725,73;214,3608;0,2861;0,1669;0,0817
170;170;-2789,606068;17,1033;73,168;2,4564;250,87;437,58;727,36;214,7064;0,2826;0,169;0,0993
170;170;-2789,548296;16,1595;74,0252;2,4489;251,32;437,77;728,96;217,7679;0,2848;0,1727;0,1147
170;170;-2789,490523;15,4234;75,3339;2,4433;251,77;437,96;730,56;220,8292;0,2869;0,1765;0,1283
170;170;-2789,432751;14,866;77,1607;2,4417;252,19;438,25;732,14;222,3496;0,2859;0,1795;0,1368
170;170;-2789,374978;16,2989;77,0019;2,4443;252,53;438,86;733,62;221,6074;0,2867;0,1808;0,1402
170;170;-2789,317206;17,9101;76,2468;2,449;252,81;439,66;734,82;220,0525;0,2874;0,181;0,1405
170;170;-2789,259434;17,4792;75,5449;2,4565;253,02;440,74;735,81;218,1279;0,2864;0,1796;0,1366
170;170;-2789,201661;16,9578;74,6139;2,4578;253,16;441,89;736,46;217,5224;0,2855;0,1779;0,1357
170;170;-2789,143889;16,2412;73,8184;2,455;253,27;443,03;737,09;217,2223;0,2846;0,1763;0,1393
170;170;-2789,086116;14,8787;73,9991;2,4456;253,32;444,05;737,75;216,0088;0,2832;0,1755;0,1583
170;170;-2789,028344;14,4202;74,3085;2,4342;253,36;444,77;738,61;215,2467;0,2776;0,1755;0,1955
170;170;-2788,970572;14,3023;74,6069;2,4217;253,37;445,21;739,42;214,8719;0,2705;0,176;0,2484
170;170;-2788,912799;13,7838;74,4505;2,4094;253,38;445,03;740,1;215,4777;0,2688;0,1769;0,2939
170;170;-2788,855027;13,5932;74,5445;2,4018;253,38;444,36;740,21;216,1009;0,2685;0,1774;0,3145
170;170;-2788,797254;13,6284;74,8273;2,3975;253,39;443,35;739,87;216,6742;0,2694;0,1775;0,3132
170;170;-2788,739482;13,9602;75,4311;2,3977;253,43;441,98;739,17;216,6955;0,2717;0,1771;0,2807
170;170;-2788,68171;14,1913;75,2476;2,4015;253,5;440,76;738,03;217,5175;0,2748;0,1768;0,2506
170;170;-2788,623937;14,4118;74,5146;2,4082;253,64;439,76;736,87;218,8758;0,2783;0,1765;0,2238
170;170;-2788,566165;16,1621;74,6421;2,4159;253,87;439,74;735,7;218,9527;0,2773;0,1764;0,2157
170;170;-2788,508392;16,6105;74,291;2,4214;254,13;440,35;734,78;219,6059;0,2769;0,1766;0,2141
170;170;-2788,45062;15,7743;73,5079;2,4251;254,4;441,53;734,05;220,7788;0,2771;0,1772;0,2183
170;170;-2788,392848;16,1636;75,4039;2,4305;254,61;443,32;733,53;224,1396;0,2748;0,177;0,2063
170;170;-2788,335075;17,0633;76,023;2,4357;254,78;445,09;733,38;225,5013;0,275;0,1762;0,1889
170;170;-2788,277303;18,6229;75,2302;2,4406;254,94;446,83;733,33;224,6545;0,2779;0,1749;0,1671
170;170;-2788,21953;17,6377;75,2511;2,4401;255,16;448,03;733,38;223,881;0,2787;0,1733;0,149
170;170;-2788,161758;16,7973;74,921;2,4375;255,47;448,84;733,43;221,8397;0,2804;0,1718;0,1385
170;170;-2788,103986;16,2689;74,0636;2,4326;255,89;449,17;733,51;218,0868;0,2835;0,1706;0,1358
170;170;-2788,046213;16,5817;73,9212;2,4268;256,37;448,92;733,66;218,3367;0,2786;0,17;0,1459
170;170;-2787,988441;17,4486;74,1482;2,4238;256,79;448,52;733,91;219,0461;0,2755;0,17;0,1531
