TechCSV1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#separator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;;;;Variable;Variable;Variable;Variable;;;;;;;;;;;;;;;;;;
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD;;;;;;;;;;;;;;;;;;
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,838465;14,4135;61,2202;2,3916;;;;161,2949;0,3217;0,1766;1,2927;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,795473;14,4946;61,0083;2,3794;;;;160,1458;0,3244;0,1853;1,9714;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,752481;14,4952;61,7038;2,3859;;;;160,125;0,3232;0,1849;1,85;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,709489;14,5766;62,4705;2,3957;;;;159,9988;0,3221;0,184;1,8006;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,666497;14,8393;63,099;2,406;;;;159,3237;0,3221;0,1847;1,8331;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,623505;14,7219;63,5572;2,4159;;;;159,272;0,3237;0,1832;1,54;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,580513;14,5803;64,2814;2,4248;;;;159,203;0,3255;0,1813;1,2274;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,537522;14,5879;65,7478;2,4313;;;;158,7508;0,3273;0,1793;0,938;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,49453;14,5491;67,536;2,4519;;;;159,4067;0,3328;0,1737;0,4834;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,451538;14,5452;69,0636;2,4707;;;;160,0602;0,3388;0,165;0,2039;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,408546;14,6934;69,4826;2,4708;;;;159,6691;0,343;0,1649;0,1686;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,365554;14,8103;69,9016;2,4705;;;;160,1806;0,3477;0,1614;0,1092;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,322602;14,84;70,1563;2,4699;;;;160,9467;0,3517;0,1574;0,0712;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,279811;14,5619;69,7374;2,4691;;;;161,3166;0,3517;0,1568;0,07;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,237019;14,4707;69,3184;2,4603;;;;161,76;0,3546;0,1586;0,0717;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,194228;14,5083;69,0409;2,4502;;;;162,2905;0,358;0,1607;0,0729;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,151437;14,7625;69,5626;2,4544;;;;163,1163;0,3562;0,1583;0,0652;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,108645;14,856;69,302;2,4614;;;;163,7045;0,3535;0,1561;0,0639;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,065854;14,8367;68,485;2,4688;;;;164,0297;0,3505;0,1547;0,0686;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2771,023062;14,6755;66,9138;2,4643;;;;163,2752;0,3501;0,1593;0,1036;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,980271;14,6931;66,6724;2,4642;;;;162,1507;0,3531;0,1653;0,1367;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,93748;14,8345;67,4087;2,4672;;;;160,794;0,3583;0,1716;0,1532;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,894688;14,8345;68,2466;2,4683;;;;160,1699;0,3584;0,172;0,1532;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,851897;14,9406;68,5684;2,4736;;;;160,187;0,3536;0,1673;0,1364;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,809105;15,1392;68,4317;2,4827;;;;160,7773;0,3445;0,1586;0,1127;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,766314;14,7418;69,0248;2,4725;;;;161,4266;0,338;0,1537;0,1016;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,723523;14,6059;69,4512;2,4499;;;;161,4049;0,3351;0,1569;0,1377;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,680731;14,7533;69,6956;2,414;;;;160,6563;0,3361;0,169;0,2813;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,63794;14,8255;68,9386;2,3927;;;;159,7361;0,3343;0,1772;0,5182;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,595148;14,8099;68,03;2,3778;;;;159,0226;0,3334;0,1819;0,7534;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,552357;14,6834;66,9813;2,3705;;;;158,5913;0,3337;0,1855;0,9804;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,509566;14,4918;65,4595;2,3867;;;;158,8108;0,3308;0,1824;1,0022;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,466774;14,2841;64,2503;2,4044;;;;159,1656;0,33;0,1786;0,8866;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,423983;14,0612;63,6219;2,4206;;;;159,6321;0,3331;0,176;0,6948;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,381191;14,03;62,9934;2,4322;;;;159,1991;0,3277;0,1728;0,738;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,3384;14,03;62,5417;2,4394;;;;159,1529;0,3201;0,1691;0,8109;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,295608;14,03;62,4361;2,4391;;;;160,1603;0,3112;0,162;0,7424;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,252817;13,8328;62,1613;2,4398;;;;160,6948;0,3026;0,1598;0,9112;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,210026;13,7421;61,6359;2,4412;;;;161,8279;0,2957;0,1564;0,9935;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,167234;14,027;60,5884;2,4436;;;;164,712;0,2929;0,1473;0,6487;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,124443;14,0943;59,5406;2,448;;;;165,9131;0,2942;0,1448;0,5476;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,081651;14,0483;58,3427;2,4514;;;;166,5244;0,2969;0,145;0,5464;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2770,03886;13,8566;56,6667;2,4495;;;;166,9143;0,2993;0,1449;0,5475;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2769,996069;13,7926;54,9908;2,4459;;;;167,3605;0,2998;0,1435;0,5529;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2769,953277;13,7819;53,9987;2,4402;;;;167,5969;0,2998;0,1425;0,5349;;;;;;;;;;;;;;;;;;
